Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2012 02 26 15	0.549	87.64
2012 02 26 16	0.571	90.02
2012 02 26 17	0.581	93.34
2012 02 26 18	0.581	96.96
2012 02 26 19	0.574	100.26
2012 02 26 20	0.559	103.04
2012 02 26 21	0.543	104.52
2012 02 26 22	0.524	104.52
2012 02 26 23	0.503	103.5
2012 02 27 00	0.482	102.05
2012 02 27 01	0.461	100.58
2012 02 27 02	0.442	99.87
2012 02 27 03	0.426	99.82
2012 02 27 04	0.414	100.39
2012 02 27 05	0.402	102.15
2012 02 27 06	0.391	104.01
2012 02 27 07	0.378	105.45
2012 02 27 08	0.368	105.56
2012 02 27 09	0.359	104.64
2012 02 27 10	0.348	103.42
2012 02 27 11	0.336	100.08
2012 02 27 12	0.336	93.05
2012 02 27 13	0.357	85.34
2012 02 27 14	0.39	80.87
2012 02 27 15	0.427	78.83
2012 02 27 16	0.454	80.29
2012 02 27 17	0.467	83.77
2012 02 27 18	0.467	88.56
2012 02 27 19	0.455	93.44
2012 02 27 20	0.436	98.35
2012 02 27 21	0.409	102.04
2012 02 27 22	0.374	103.83
2012 02 27 23	0.335	103.38
2012 02 29 00	0.291	106.06
2012 02 29 01	0.269	105.46
2012 02 29 02	0.248	103.68
2012 02 29 03	0.229	101.53
2012 02 29 04	0.215	98.76
2012 02 29 05	0.207	96.0
2012 02 29 06	0.203	94.42
2012 02 29 07	0.203	93.86
2012 02 29 08	0.205	93.82
2012 02 29 09	0.206	94.37
2012 02 29 10	0.202	93.62
2012 02 29 11	0.196	89.66
2012 02 29 12	0.194	82.89
2012 02 29 13	0.205	75.61
2012 02 29 14	0.227	70.19
2012 02 29 15	0.256	68.01
2012 02 29 16	0.287	69.38
2012 02 29 17	0.319	73.05
2012 02 29 18	0.348	78.87
2012 02 29 19	0.364	85.88
2012 02 29 20	0.368	93.39
2012 02 29 21	0.364	100.25
2012 02 29 22	0.355	105.84
2012 02 29 23	0.336	109.86
2012 03 01 00	0.319	111.54
2012 03 01 01	0.297	111.17
2012 03 01 02	0.274	109.68
2012 03 01 03	0.252	107.84
2012 03 01 04	0.232	106.05
2012 03 01 05	0.218	104.11
2012 03 01 06	0.207	102.29
2012 03 01 07	0.203	99.36
2012 03 01 08	0.205	97.29
2012 03 01 09	0.211	95.45
2012 03 01 10	0.226	91.55
2012 03 01 11	0.247	88.18
2012 03 01 12	0.269	85.98
2012 03 01 13	0.294	84.16
2012 03 01 14	0.313	83.77
2012 03 01 15	0.329	84.22
2012 03 01 16	0.348	86.18
2012 03 01 17	0.367	89.8
2012 03 01 18	0.384	93.99
2012 03 01 19	0.381	99.2
2012 03 01 20	0.365	104.42
2012 03 01 21	0.344	109.04
2012 03 01 22	0.32	112.44
2012 03 01 23	0.296	114.2
2012 03 02 00	0.271	114.74
2012 03 02 01	0.246	113.83
2012 03 02 02	0.226	111.66
2012 03 02 03	0.209	108.28
2012 03 02 04	0.198	105.07
2012 03 02 05	0.189	103.27
2012 03 02 06	0.187	100.61
2012 03 02 07	0.189	99.25
2012 03 02 08	0.194	99.64
2012 03 02 09	0.2	101.1
2012 03 02 10	0.206	104.14
2012 03 02 11	0.211	105.18
2012 03 02 12	0.216	104.57
2012 03 02 13	0.228	101.49
2012 03 02 14	0.25	97.88
2012 03 02 15	0.277	96.49
2012 03 02 16	0.301	98.25
2012 03 02 17	0.316	102.46
2012 03 02 18	0.32	107.29
2012 03 02 19	0.309	113.19
2012 03 02 20	0.289	120.98
2012 03 02 21	0.261	131.96
2012 03 02 22	0.231	147.32
2012 03 02 23	0.211	167.35
2012 03 03 00	0.2	188.38
2012 03 03 01	0.198	208.29
2012 03 03 02	0.2	227.0
2012 03 03 03	0.211	245.62
2012 03 03 04	0.231	264.85
2012 03 03 05	0.262	281.27
2012 03 03 06	0.282	294.35
2012 03 03 07	0.266	306.52
2012 03 03 08	0.215	319.8
2012 03 03 09	0.152	338.5
2012 03 03 10	0.095	3.32
2012 03 03 11	0.062	34.11
2012 03 03 12	0.052	62.63
2012 03 03 13	0.062	75.48
2012 03 03 14	0.089	78.34
2012 03 03 15	0.133	84.16
2012 03 03 16	0.169	89.62
2012 03 03 17	0.183	94.55
2012 03 03 18	0.19	95.91
2012 03 03 19	0.195	98.2
2012 03 03 20	0.201	102.36
2012 03 03 21	0.196	109.76
2012 03 03 22	0.181	122.11
2012 03 03 23	0.162	141.14
2012 03 04 00	0.155	168.46
2012 03 04 01	0.168	195.72
2012 03 04 02	0.197	218.69
2012 03 04 03	0.219	237.31
2012 03 04 04	0.229	255.37
2012 03 04 05	0.235	272.36
2012 03 04 06	0.24	288.05
2012 03 04 07	0.241	301.31
2012 03 04 08	0.229	314.74
2012 03 04 09	0.2	328.62
2012 03 04 10	0.16	343.15
2012 03 04 11	0.129	3.75
2012 03 04 12	0.124	29.09
2012 03 04 13	0.135	54.17
2012 03 04 14	0.168	75.62
2012 03 04 15	0.211	89.97
2012 03 04 16	0.239	100.96
2012 03 04 17	0.25	110.88
2012 03 04 18	0.245	121.36
2012 03 04 19	0.229	132.83
2012 03 04 20	0.207	146.89
2012 03 04 21	0.19	164.36
2012 03 04 22	0.188	183.5
2012 03 04 23	0.199	202.78
2012 03 05 00	0.217	219.55
2012 03 05 01	0.231	234.95
2012 03 05 02	0.237	250.03
2012 03 05 03	0.237	265.04
2012 03 05 04	0.225	279.27
2012 03 05 05	0.198	294.22
2012 03 05 06	0.167	311.02
2012 03 05 07	0.141	328.73
2012 03 05 08	0.118	347.66
2012 03 05 09	0.098	8.59
2012 03 05 10	0.08	30.17
2012 03 05 11	0.062	55.84
2012 03 05 12	0.047	83.88
2012 03 05 13	0.052	91.86
2012 03 05 14	0.076	81.5
2012 03 05 15	0.12	79.38
2012 03 05 16	0.164	83.62
2012 03 05 17	0.195	88.69
2012 03 05 18	0.216	91.7
2012 03 05 19	0.224	95.72
2012 03 05 20	0.223	100.16
2012 03 05 21	0.214	105.02
2012 03 05 22	0.2	110.32
2012 03 05 23	0.183	116.75
2012 03 06 00	0.166	127.08
2012 03 06 01	0.149	142.34
2012 03 06 02	0.137	160.1
2012 03 06 03	0.129	179.46
2012 03 06 04	0.118	197.36
2012 03 06 05	0.102	215.78
2012 03 06 06	0.078	237.67
2012 03 06 07	0.055	270.87
2012 03 06 08	0.044	318.13
2012 03 06 09	0.052	8.55
2012 03 06 10	0.064	42.76
2012 03 06 11	0.078	68.0
2012 03 06 12	0.085	91.08
2012 03 06 13	0.088	112.83
2012 03 06 14	0.09	129.47
2012 03 06 15	0.09	141.19
2012 03 06 16	0.085	142.39
2012 03 06 17	0.086	135.17
2012 03 06 18	0.091	123.43
2012 03 06 19	0.1	112.45
2012 03 06 20	0.114	102.24
2012 03 06 21	0.132	95.8
2012 03 06 22	0.153	93.97
2012 03 06 23	0.172	96.61
2012 03 07 00	0.135	199.28
2012 03 07 01	0.169	211.45
2012 03 07 02	0.206	222.55
2012 03 07 03	0.228	233.57
2012 03 07 04	0.238	244.4
2012 03 07 05	0.229	255.57
2012 03 07 06	0.209	266.4
2012 03 07 07	0.183	276.86
2012 03 07 08	0.154	286.58
2012 03 07 09	0.131	293.57
2012 03 07 10	0.121	302.13
2012 03 07 11	0.126	310.2
2012 03 07 12	0.135	317.42
2012 03 07 13	0.139	324.05
2012 03 07 14	0.133	332.39
2012 03 07 15	0.123	343.88
2012 03 07 16	0.107	356.65
2012 03 07 17	0.098	14.52
2012 03 07 18	0.101	35.1
2012 03 07 19	0.114	50.02
2012 03 07 20	0.124	60.86
2012 03 07 21	0.129	69.43
2012 03 07 22	0.128	78.98
2012 03 07 23	0.124	93.37
2012 03 08 00	0.119	120.46
2012 03 08 01	0.131	153.08
2012 03 08 02	0.166	179.1
2012 03 08 03	0.206	197.01
2012 03 08 04	0.234	211.53
2012 03 08 05	0.242	226.1
2012 03 08 06	0.226	243.23
2012 03 08 07	0.205	264.03
2012 03 08 08	0.184	286.89
2012 03 08 09	0.163	311.3
2012 03 08 10	0.146	336.71
2012 03 08 11	0.137	3.04
2012 03 08 12	0.145	26.21
2012 03 08 13	0.158	44.66
2012 03 08 14	0.162	60.16
2012 03 08 15	0.165	77.63
2012 03 08 16	0.174	99.83
2012 03 08 17	0.192	121.65
2012 03 08 18	0.214	140.17
2012 03 08 19	0.225	155.03
2012 03 08 20	0.23	168.68
2012 03 08 21	0.224	182.44
2012 03 08 22	0.211	198.31
2012 03 08 23	0.201	216.01
2012 03 09 00	0.203	232.48
2012 03 09 01	0.219	245.5
2012 03 09 02	0.237	255.48
2012 03 09 03	0.249	265.02
2012 03 09 04	0.249	275.36
2012 03 09 05	0.241	288.38
2012 03 09 06	0.235	302.88
2012 03 09 07	0.232	318.83
2012 03 09 08	0.23	334.53
2012 03 09 09	0.226	348.8
2012 03 09 10	0.222	1.99
2012 03 09 11	0.209	13.41
2012 03 09 12	0.183	22.93
2012 03 09 13	0.148	31.03
2012 03 09 14	0.108	39.13
2012 03 09 15	0.07	54.33
2012 03 09 16	0.044	95.86
2012 03 09 17	0.059	148.57
2012 03 09 18	0.087	169.58
2012 03 09 19	0.109	182.66
2012 03 09 20	0.111	195.15
2012 03 09 21	0.096	212.57
2012 03 09 22	0.083	240.79
2012 03 09 23	0.087	272.56
2012 03 10 00	0.1	293.85
2012 03 10 01	0.116	303.24
2012 03 10 02	0.127	306.53
2012 03 10 03	0.137	308.06
2012 03 10 04	0.146	307.7
2012 03 10 05	0.153	310.43
2012 03 10 06	0.159	317.96
2012 03 10 07	0.161	327.8
2012 03 10 08	0.159	340.08
2012 03 10 09	0.156	351.41
2012 03 10 10	0.146	1.37
2012 03 10 11	0.124	10.35
2012 03 10 12	0.085	20.13
2012 03 10 13	0.034	37.91
2012 03 10 14	0.03	181.26
2012 03 10 15	0.09	201.81
2012 03 10 16	0.147	211.06
2012 03 10 17	0.197	219.67
2012 03 10 18	0.229	230.73
2012 03 10 19	0.241	244.84
2012 03 10 20	0.244	261.73
2012 03 10 21	0.246	280.16
2012 03 10 22	0.25	298.65
2012 03 10 23	0.256	314.19
2012 03 11 00	0.25	326.84
2012 03 11 01	0.235	336.21
2012 03 11 02	0.207	343.7
2012 03 11 03	0.165	351.23
2012 03 11 04	0.112	0.28
2012 03 11 05	0.052	18.29
2012 03 11 06	0.027	109.22
2012 03 11 07	0.058	155.53
2012 03 11 08	0.081	172.16
2012 03 11 09	0.094	184.73
2012 03 11 10	0.098	196.25
2012 03 11 11	0.089	209.76
2012 03 11 12	0.082	224.86
2012 03 11 13	0.092	242.1
2012 03 11 14	0.109	256.13
2012 03 11 15	0.127	268.05
2012 03 11 16	0.145	273.8
2012 03 11 17	0.156	279.35
2012 03 11 18	0.156	288.29
2012 03 11 19	0.15	303.32
2012 03 11 20	0.145	324.83
2012 03 11 21	0.156	347.71
2012 03 11 22	0.175	6.34
2012 03 11 23	0.185	21.14
2012 03 12 00	0.182	36.02
2012 03 12 01	0.157	53.77
2012 03 12 02	0.123	81.19
2012 03 12 03	0.11	123.66
2012 03 12 04	0.14	165.95
2012 03 12 05	0.19	192.58
2012 03 12 06	0.237	211.98
2012 03 12 07	0.267	228.42
2012 03 12 08	0.278	244.43
2012 03 12 09	0.275	261.56
2012 03 12 10	0.268	280.33
2012 03 12 11	0.269	299.46
2012 03 12 12	0.279	316.36
2012 03 12 13	0.291	330.62
2012 03 12 14	0.295	342.29
2012 03 12 15	0.279	354.24
2012 03 12 16	0.24	8.08
2012 03 12 17	0.195	26.94
2012 03 12 18	0.157	53.18
2012 03 12 19	0.144	84.87
2012 03 12 20	0.151	111.58
2012 03 12 21	0.156	130.26
2012 03 12 22	0.147	143.63
2012 03 12 23	0.129	157.87
2012 03 13 00	0.109	176.39
2012 03 13 01	0.11	198.46
2012 03 13 02	0.13	216.04
2012 03 13 03	0.16	228.07
2012 03 13 04	0.195	237.49
2012 03 13 05	0.225	245.62
2012 03 13 06	0.249	253.41
2012 03 13 07	0.263	262.7
2012 03 13 08	0.265	273.26
2012 03 13 09	0.255	286.03
2012 03 13 10	0.253	301.62
2012 03 13 11	0.256	318.48
2012 03 13 12	0.259	334.75
2012 03 13 13	0.253	349.23
2012 03 13 14	0.236	2.48
2012 03 13 15	0.208	17.58
2012 03 13 16	0.163	37.49
2012 03 13 17	0.124	64.33
2012 03 13 18	0.102	96.54
2012 03 13 19	0.098	137.03
2012 03 13 20	0.113	172.05
2012 03 13 21	0.13	197.89
2012 03 13 22	0.142	219.18
2012 03 13 23	0.151	239.14
2012 03 14 00	0.048	265.67
2012 03 14 01	0.065	275.63
2012 03 14 02	0.082	284.4
2012 03 14 03	0.098	290.45
2012 03 14 04	0.114	294.5
2012 03 14 05	0.128	296.55
2012 03 14 06	0.139	297.49
2012 03 14 07	0.146	297.47
2012 03 14 08	0.149	298.47
2012 03 14 09	0.152	302.28
2012 03 14 10	0.16	310.05
2012 03 14 11	0.168	320.81
2012 03 14 12	0.179	332.14
2012 03 14 13	0.19	343.85
2012 03 14 14	0.198	354.11
2012 03 14 15	0.197	3.61
2012 03 14 16	0.178	12.38
2012 03 14 17	0.149	20.88
2012 03 14 18	0.115	30.29
2012 03 14 19	0.073	43.54
2012 03 14 20	0.036	72.04
2012 03 14 21	0.023	145.75
2012 03 14 22	0.04	189.38
2012 03 14 23	0.051	208.3
2012 03 15 00	0.059	225.63
2012 03 15 01	0.064	243.56
2012 03 15 02	0.071	263.15
2012 03 15 03	0.081	280.16
2012 03 15 04	0.095	293.71
2012 03 15 05	0.108	302.57
2012 03 15 06	0.118	308.84
2012 03 15 07	0.123	313.03
2012 03 15 08	0.123	314.68
2012 03 15 09	0.124	318.56
2012 03 15 10	0.126	326.23
2012 03 15 11	0.13	337.81
2012 03 15 12	0.136	350.14
2012 03 15 13	0.145	1.74
2012 03 15 14	0.148	11.73
2012 03 15 15	0.146	20.87
2012 03 15 16	0.136	29.43
2012 03 15 17	0.12	38.59
2012 03 15 18	0.098	51.08
2012 03 15 19	0.071	71.79
2012 03 15 20	0.053	107.73
2012 03 15 21	0.056	154.46
2012 03 15 22	0.074	183.29
2012 03 15 23	0.084	200.8
2012 03 16 00	0.086	215.37
2012 03 16 01	0.078	228.78
2012 03 16 02	0.064	245.11
2012 03 16 03	0.05	268.71
2012 03 16 04	0.043	301.33
2012 03 16 05	0.047	329.08
2012 03 16 06	0.051	349.55
2012 03 16 07	0.042	14.65
2012 03 16 08	0.023	83.18
2012 03 16 09	0.059	158.86
2012 03 16 10	0.119	172.99
2012 03 16 11	0.164	182.57
2012 03 16 12	0.169	192.3
2012 03 16 13	0.131	200.6
2012 03 16 14	0.058	200.2
2012 03 16 15	0.024	59.08
2012 03 16 16	0.085	57.49
2012 03 16 17	0.135	67.41
2012 03 16 18	0.176	78.83
2012 03 16 19	0.211	92.06
2012 03 16 20	0.248	107.4
2012 03 16 21	0.294	123.53
2012 03 16 22	0.347	139.29
2012 03 16 23	0.39	153.07
2012 03 17 00	0.399	165.6
2012 03 17 01	0.383	179.0
2012 03 17 02	0.355	193.42
2012 03 17 03	0.33	209.73
2012 03 17 04	0.32	228.46
2012 03 17 05	0.338	244.97
2012 03 17 06	0.355	260.41
2012 03 17 07	0.366	274.34
2012 03 17 08	0.366	286.29
2012 03 17 09	0.353	296.37
2012 03 17 10	0.33	306.46
2012 03 17 11	0.306	320.01
2012 03 17 12	0.301	338.89
2012 03 17 13	0.32	359.18
2012 03 17 14	0.343	21.93
2012 03 17 15	0.363	46.06
2012 03 17 16	0.366	65.71
2012 03 17 17	0.373	81.24
2012 03 17 18	0.383	95.39
2012 03 17 19	0.412	111.44
2012 03 17 20	0.452	129.03
2012 03 17 21	0.476	146.02
2012 03 17 22	0.467	162.24
2012 03 17 23	0.44	178.06
2012 03 18 00	0.405	193.3
2012 03 18 01	0.378	207.08
2012 03 18 02	0.356	219.73
2012 03 18 03	0.329	232.65
2012 03 18 04	0.307	247.29
2012 03 18 05	0.297	263.49
2012 03 18 06	0.293	281.68
2012 03 18 07	0.302	299.18
2012 03 18 08	0.312	315.72
2012 03 18 09	0.313	331.18
2012 03 18 10	0.298	345.42
2012 03 18 11	0.263	357.96
2012 03 18 12	0.213	10.93
2012 03 18 13	0.167	29.96
2012 03 18 14	0.146	56.04
2012 03 18 15	0.155	79.65
2012 03 18 16	0.165	102.59
2012 03 18 17	0.187	121.59
2012 03 18 18	0.213	138.9
2012 03 18 19	0.24	154.5
2012 03 18 20	0.256	170.45
2012 03 18 21	0.271	187.04
2012 03 18 22	0.285	204.2
2012 03 18 23	0.301	221.13
2012 03 19 00	0.313	236.08
2012 03 19 01	0.322	248.55
2012 03 19 02	0.319	260.64
2012 03 19 03	0.305	272.63
2012 03 19 04	0.289	284.62
2012 03 19 05	0.267	297.27
2012 03 19 06	0.243	311.58
2012 03 19 07	0.228	326.2
2012 03 19 08	0.219	340.63
2012 03 19 09	0.203	352.1
2012 03 19 10	0.175	359.28
2012 03 19 11	0.13	0.29
2012 03 19 12	0.078	351.63
2012 03 19 13	0.039	311.43
2012 03 19 14	0.048	254.63
2012 03 19 15	0.057	239.06
2012 03 19 16	0.069	233.78
2012 03 19 17	0.063	236.58
2012 03 19 18	0.053	231.89
2012 03 19 19	0.045	226.79
2012 03 19 20	0.049	228.16
2012 03 19 21	0.067	235.04
2012 03 19 22	0.1	245.91
2012 03 19 23	0.141	253.69
2012 03 20 00	0.184	260.36
2012 03 20 01	0.222	265.87
2012 03 20 02	0.25	273.61
2012 03 20 03	0.266	283.15
2012 03 20 04	0.269	292.81
2012 03 20 05	0.26	303.23
2012 03 20 06	0.243	314.51
2012 03 20 07	0.227	326.16
2012 03 20 08	0.218	337.78
2012 03 20 09	0.212	348.71
2012 03 20 10	0.201	357.57
2012 03 20 11	0.173	4.47
2012 03 20 12	0.126	9.87
2012 03 20 13	0.064	11.37
2012 03 20 14	0.011	349.19
2012 03 20 15	0.025	212.88
2012 03 20 16	0.068	204.73
2012 03 20 17	0.098	206.5
2012 03 20 18	0.117	211.33
2012 03 20 19	0.125	223.99
2012 03 20 20	0.121	240.23
2012 03 20 21	0.119	254.91
2012 03 20 22	0.133	268.74
2012 03 20 23	0.16	280.1
2012 03 21 00	0.191	289.89
2012 03 21 01	0.219	298.31
2012 03 21 02	0.238	307.44
2012 03 21 03	0.245	317.7
2012 03 21 04	0.244	329.43
2012 03 21 05	0.238	343.87
2012 03 21 06	0.232	359.17
2012 03 21 07	0.228	14.35
2012 03 21 08	0.226	29.28
2012 03 21 09	0.225	42.33
2012 03 21 10	0.231	53.1
2012 03 21 11	0.233	65.74
2012 03 21 12	0.227	78.82
2012 03 21 13	0.21	93.25
2012 03 21 14	0.185	109.78
2012 03 21 15	0.16	125.88
2012 03 21 16	0.133	142.05
2012 03 21 17	0.1	155.8
2012 03 21 18	0.06	171.35
2012 03 21 19	0.028	218.57
2012 03 21 20	0.041	295.15
2012 03 21 21	0.072	324.21
2012 03 21 22	0.101	341.38
2012 03 21 23	0.12	352.73
2012 03 22 00	0.125	0.78
2012 03 22 01	0.116	6.78
2012 03 22 02	0.103	13.31
2012 03 22 03	0.088	21.67
2012 03 22 04	0.071	30.95
2012 03 22 05	0.068	41.14
2012 03 22 06	0.068	49.54
2012 03 22 07	0.071	51.71
2012 03 22 08	0.074	50.9
2012 03 22 09	0.075	45.52
2012 03 22 10	0.073	35.64
2012 03 22 11	0.072	21.3
2012 03 22 12	0.07	4.27
2012 03 22 13	0.074	346.21
2012 03 22 14	0.087	331.64
2012 03 22 15	0.104	327.73
2012 03 22 16	0.118	331.43
2012 03 22 17	0.13	341.81
2012 03 22 18	0.143	353.69
2012 03 22 19	0.151	2.68
2012 03 22 20	0.155	8.49
2012 03 22 21	0.155	9.52
2012 03 22 22	0.159	10.29
2012 03 22 23	0.161	11.23
2012 03 23 00	0.155	10.94
2012 03 23 01	0.132	8.1
2012 03 23 02	0.105	3.16
2012 03 23 03	0.078	352.7
2012 03 23 04	0.061	328.65
2012 03 23 05	0.062	308.91
2012 03 23 06	0.071	301.16
2012 03 23 07	0.084	305.63
2012 03 23 08	0.094	313.89
2012 03 23 09	0.106	322.27
2012 03 23 10	0.119	329.63
2012 03 23 11	0.13	333.81
2012 03 23 12	0.134	334.14
2012 03 23 13	0.134	331.67
2012 03 23 14	0.132	326.05
2012 03 23 15	0.126	320.47
2012 03 23 16	0.12	313.76
2012 03 23 17	0.117	308.96
2012 03 23 18	0.115	307.82
2012 03 23 19	0.112	308.32
2012 03 23 20	0.11	308.12
2012 03 23 21	0.112	308.24
2012 03 23 22	0.113	311.46
2012 03 23 23	0.109	312.43
2012 03 24 00	0.104	307.29
2012 03 24 01	0.104	296.25
2012 03 24 02	0.115	282.2
2012 03 24 03	0.136	272.67
2012 03 24 04	0.164	267.67
2012 03 24 05	0.187	267.62
2012 03 24 06	0.199	271.19
2012 03 24 07	0.208	278.02
2012 03 24 08	0.209	286.59
2012 03 24 09	0.208	296.13
2012 03 24 10	0.204	305.93
2012 03 24 11	0.195	314.87
2012 03 24 12	0.176	319.93
2012 03 24 13	0.146	319.04
2012 03 24 14	0.119	307.86
2012 03 24 15	0.107	286.97
2012 03 24 16	0.118	266.37
2012 03 24 17	0.137	252.94
2012 03 24 18	0.154	249.02
2012 03 24 19	0.166	253.37
2012 03 24 20	0.167	262.46
2012 03 24 21	0.164	272.74
2012 03 24 22	0.159	282.97
2012 03 24 23	0.152	292.2
2012 03 25 00	0.144	296.78
2012 03 25 01	0.132	295.91
2012 03 25 02	0.119	289.24
2012 03 25 03	0.114	276.2
2012 03 25 04	0.129	262.24
2012 03 25 05	0.156	254.64
2012 03 25 06	0.182	253.26
2012 03 25 07	0.206	256.08
2012 03 25 08	0.222	262.27
2012 03 25 09	0.229	270.46
2012 03 25 10	0.231	280.37
2012 03 25 11	0.229	290.78
2012 03 25 12	0.221	299.94
2012 03 25 13	0.201	307.46
2012 03 25 14	0.172	312.1
2012 03 25 15	0.137	310.84
2012 03 25 16	0.101	298.15
2012 03 25 17	0.088	270.88
2012 03 25 18	0.101	253.19
2012 03 25 19	0.117	251.38
2012 03 25 20	0.126	255.92
2012 03 25 21	0.127	265.06
2012 03 25 22	0.125	274.98
2012 03 25 23	0.12	284.27
2012 03 26 00	0.114	292.37
2012 03 26 01	0.105	293.19
2012 03 26 02	0.096	286.73
2012 03 26 03	0.095	273.55
2012 03 26 04	0.108	258.89
2012 03 26 05	0.131	249.65
2012 03 26 06	0.153	246.77
2012 03 26 07	0.165	249.32
2012 03 26 08	0.167	254.95
2012 03 26 09	0.161	264.44
2012 03 26 10	0.158	275.15
2012 03 26 11	0.156	287.86
2012 03 26 12	0.154	299.27
2012 03 26 13	0.151	307.57
2012 03 26 14	0.142	313.29
2012 03 26 15	0.124	315.98
2012 03 26 16	0.086	310.43
2012 03 26 17	0.055	282.72
2012 03 26 18	0.064	249.77
2012 03 26 19	0.083	242.83
2012 03 26 20	0.096	250.58
2012 03 26 21	0.102	265.35
2012 03 26 22	0.103	281.38
2012 03 26 23	0.103	296.46
2012 03 27 00	0.099	309.29
2012 03 27 01	0.088	313.92
2012 03 27 02	0.071	310.71
2012 03 27 03	0.055	291.97
2012 03 27 04	0.063	254.36
2012 03 27 05	0.097	236.33
2012 03 27 06	0.137	231.81
2012 03 27 07	0.174	235.22
2012 03 27 08	0.201	242.02
2012 03 27 09	0.22	251.28
2012 03 27 10	0.229	262.71
2012 03 27 11	0.232	274.07
2012 03 27 12	0.23	285.62
2012 03 27 13	0.221	295.68
2012 03 27 14	0.203	304.63
2012 03 27 15	0.173	311.04
2012 03 27 16	0.13	308.56
2012 03 27 17	0.103	294.91
2012 03 27 18	0.113	277.02
2012 03 27 19	0.139	269.19
2012 03 27 20	0.164	268.62
2012 03 27 21	0.182	271.23
2012 03 27 22	0.194	276.39
2012 03 27 23	0.2	281.04
2012 03 28 00	0.198	284.92
2012 03 28 01	0.195	285.16
2012 03 28 02	0.192	282.63
2012 03 28 03	0.196	277.37
2012 03 28 04	0.213	270.39
2012 03 28 05	0.236	265.81
2012 03 28 06	0.266	263.11
2012 03 28 07	0.294	263.6
2012 03 28 08	0.313	266.39
2012 03 28 09	0.325	270.39
2012 03 28 10	0.323	276.74
2012 03 28 11	0.315	283.31
2012 03 28 12	0.304	290.85
2012 03 28 13	0.289	298.47
2012 03 28 14	0.269	305.34
2012 03 28 15	0.234	309.79
2012 03 28 16	0.19	307.14
2012 03 28 17	0.161	296.4
2012 03 28 18	0.157	281.7
2012 03 28 19	0.172	271.06
2012 03 28 20	0.194	266.25
2012 03 28 21	0.216	265.06
2012 03 28 22	0.229	266.83
2012 03 28 23	0.236	269.55
2012 03 29 00	0.242	274.0
2012 03 29 01	0.245	277.4
2012 03 29 02	0.244	280.23
2012 03 29 03	0.242	281.03
2012 03 29 04	0.239	280.18
2012 03 29 05	0.236	279.14
2012 03 29 06	0.237	277.19
2012 03 29 07	0.239	276.43
2012 03 29 08	0.24	276.43
2012 03 29 09	0.239	277.92
2012 03 29 10	0.235	281.48
2012 03 29 11	0.229	286.64
2012 03 29 12	0.22	293.32
2012 03 29 13	0.212	300.97
2012 03 29 14	0.199	308.06
2012 03 29 15	0.178	311.33
2012 03 29 16	0.156	309.3
2012 03 29 17	0.14	303.49
2012 03 29 18	0.133	295.31
2012 03 29 19	0.134	286.43
2012 03 29 20	0.143	279.28
2012 03 29 21	0.156	276.3
2012 03 29 22	0.166	277.29
2012 03 29 23	0.171	280.7
2012 03 30 00	0.174	284.82
2012 03 30 01	0.175	288.81
2012 03 30 02	0.174	292.41
2012 03 30 03	0.171	293.84
2012 03 30 04	0.17	293.37
2012 03 30 05	0.169	291.71
2012 03 30 06	0.169	288.87
2012 03 30 07	0.173	285.98
2012 03 30 08	0.18	283.1
2012 03 30 09	0.187	282.04
2012 03 30 10	0.188	284.12
2012 03 30 11	0.187	289.0
2012 03 30 12	0.18	294.83
2012 03 30 13	0.17	303.72
2012 03 30 14	0.155	313.62
2012 03 30 15	0.138	323.7
2012 03 30 16	0.116	328.52
2012 03 30 17	0.092	325.89
2012 03 30 18	0.071	312.13
2012 03 30 19	0.068	282.54
2012 03 30 20	0.093	261.92
2012 03 30 21	0.127	256.3
2012 03 30 22	0.155	258.05
2012 03 30 23	0.176	263.12
2012 03 31 00	0.193	269.06
2012 03 31 01	0.202	275.33
2012 03 31 02	0.204	281.78
2012 03 31 03	0.201	287.89
2012 03 31 04	0.194	291.99
2012 03 31 05	0.183	294.84
2012 03 31 06	0.17	296.13
2012 03 31 07	0.158	293.91
2012 03 31 08	0.151	288.56
2012 03 31 09	0.15	281.16
2012 03 31 10	0.156	276.2
2012 03 31 11	0.166	273.32
2012 03 31 12	0.175	274.06
2012 03 31 13	0.183	277.58
2012 03 31 14	0.19	282.44
2012 03 31 15	0.193	287.2
2012 03 31 16	0.189	289.8
2012 03 31 17	0.182	291.04
2012 03 31 18	0.174	292.21
2012 03 31 19	0.162	291.05
2012 03 31 20	0.148	288.17
2012 03 31 21	0.138	282.25
2012 03 31 22	0.132	275.27
2012 03 31 23	0.132	269.12
2012 04 01 00	0.132	264.26
2012 04 01 01	0.134	261.69
2012 04 01 02	0.136	262.58
2012 04 01 03	0.135	263.78
2012 04 01 04	0.133	266.72
2012 04 01 05	0.129	269.3
2012 04 01 06	0.125	271.16
2012 04 01 07	0.124	272.15
2012 04 01 08	0.128	272.17
2012 04 01 09	0.138	271.68
2012 04 01 10	0.15	271.22
2012 04 01 11	0.146	274.39
2012 04 01 12	0.123	280.83
2012 04 01 13	0.084	292.3
2012 04 01 14	0.051	309.96
2012 04 01 15	0.028	353.01
2012 04 01 16	0.025	54.5
2012 04 01 17	0.036	93.81
